year,iso3,port_name,label,vessel_class,type,flag,is_pacific_rim,is_psma_port,is_psma_state,n_visits,n_visits_fishing_vessel,n_visits_fishing_vessel_hs,n_visits_support_vessel,n_visits_support_vessel_hs
2024,BHR,,DIYAR AL MUHARRAQ,fishing,domestic,BHR,0,0,0,795,795,0,0,0
2024,BHR,,SITRAH,fishing,domestic,BHR,0,0,0,1662,1662,0,0,0
2024,SGP,,SINGAPORE,bunker,foreign,MYS,1,0,0,223,0,0,223,0
2024,IRN,,ASALUYEH,bunker,domestic,IRN,0,0,0,107,0,0,107,0
2024,LVA,,LVA-11,fishing,domestic,EST,0,0,1,34,34,0,0,0
2024,ZAF,,HOUT BAY,fishing,domestic,ZAF,0,0,1,662,662,1,0,0
2024,SRB,,SRB-28,bunker,foreign,ROU,0,0,0,8,0,0,8,0
2024,SOM,,BOOSAASO,bunker,foreign,IND,0,0,1,12,0,0,12,0
2024,ESH,,DAKHLA,fishing,foreign,MAR,0,0,0,1760,1760,0,0,0
2024,IRN,,KHARK,bunker,domestic,IRN,0,0,0,272,0,0,272,0
2024,ISR,,ASHDOD,fishing,domestic,ISR,0,0,0,265,265,0,0,0
2024,GRL,,ILULISSAT,fishing,domestic,GRL,0,0,1,585,585,0,0,0
2024,ZAF,Port Of Cape Town,CAPE TOWN,bunker,foreign,BMU,0,1,1,2,0,0,2,0
2024,SVN,,KOPER,fishing,domestic,SVN,0,0,1,232,232,0,0,0
2024,POL,,HEL,fishing,domestic,POL,0,0,1,1248,1248,0,0,0
2024,IRQ,,UMM QASR,bunker,domestic,IRQ,0,0,0,497,0,0,497,0
2024,KNA,Deepwater Cargo Port,ST KITTS,bunker,foreign,IMN,0,1,1,16,0,0,16,0
2024,FRO,,FUGLAFJORDUR,fishing,domestic,FRO,0,0,1,169,169,14,0,0
2024,IRL,,DUN LAOGHAIRE,fishing,domestic,IRL,0,0,1,44,44,0,0,0
2024,FRO,,TOFTIR,fishing,domestic,FRO,0,0,1,603,603,6,0,0
2024,BEL,,ANTWERP,bunker,domestic,CYP,0,0,1,539,0,0,539,0
2024,AUT,,WOLFSTHAL,bunker,domestic,HRV,0,0,1,4,0,0,4,0
2024,QAT,,AL RUWAIS,bunker,foreign,IND,0,0,0,18,0,0,18,0
2024,MRT,,CANSADO,fishing,domestic,MRT,0,0,1,194,194,0,0,0
2024,QAT,,DOHA,bunker,foreign,IND,0,0,0,1,0,0,1,0
2024,LVA,,LIEPAJA,fishing,domestic,LTU,0,0,1,103,103,0,0,0
2024,PNG,,RABAUL,carrier,foreign,PHL,1,0,1,14,0,0,14,0
2024,LKA,,MARISSA,fishing,domestic,LKA,0,0,1,354,354,0,0,0
2024,CMR,,DOUALA,bunker,foreign,GIB,0,0,0,59,0,0,59,0
2024,IRL,,IRL-20,fishing,domestic,IRL,0,0,1,36,36,0,0,0
2024,AIA,,WEST END VILLAGE,fishing,domestic,AIA,0,0,0,80,80,0,0,0
2024,TTO,,POINT FORTIN,bunker,foreign,BMU,0,0,1,20,0,0,20,0
2024,QAT,,AL WAKRAH,fishing,domestic,QAT,0,0,0,420,420,0,0,0
2024,LKA,Galle Commercial Port,GALLE,fishing,domestic,LKA,0,1,1,1803,1803,0,0,0
2024,LVA,,LVA-11,fishing,domestic,LVA,0,0,1,481,481,0,0,0
2024,BHR,,HIDD,fishing,domestic,BHR,0,0,0,37,37,0,0,0
2024,MAR,,TANGER MED,bunker,foreign,GIB,0,0,1,272,0,0,272,0
2024,SUR,,PARAMARIBO,fishing,foreign,VEN,0,0,0,7,7,0,0,0
